178. 《爱在午夜降临前》 | 评分：8.9 | 评价人数：466991 | 年份：2013 | 短评：
179. 《海街日记》 | 评分：8.8 | 评价人数：515157 | 年份：2015 | 短评：
180. 《疯狂的石头》 | 评分：8.6 | 评价人数：916846 | 年份：2006 | 短评：
181. 《风之谷》 | 评分：8.9 | 评价人数：390738 | 年份：1984 | 短评：
182. 《上帝之城》 | 评分：9.0 | 评价人数：330750 | 年份：2002 | 短评：
183. 《雨中曲》 | 评分：9.1 | 评价人数：264289 | 年份：1952 | 短评：
184. 《2001太空漫游》 | 评分：8.9 | 评价人数：388909 | 年份：1968 | 短评：
185. 《心迷宫》 | 评分：8.7 | 评价人数：609419 | 年份：2014 | 短评：
186. 《英雄本色》 | 评分：8.6 | 评价人数：601135 | 年份：1986 | 短评：
187. 《机器人之梦》 | 评分：9.1 | 评价人数：400449 | 年份：2023 | 短评：
188. 《记忆碎片》 | 评分：8.7 | 评价人数：663217 | 年份：2000 | 短评：
189. 《纵横四海》 | 评分：8.8 | 评价人数：470073 | 年份：1991 | 短评：
190. 《卢旺达饭店》 | 评分：8.9 | 评价人数：364226 | 年份：2004 | 短评：
191. 《无敌破坏王》 | 评分：8.7 | 评价人数：606217 | 年份：2012 | 短评：
192. 《小偷家族》 | 评分：8.7 | 评价人数：889061 | 年份：2018 | 短评：
193. 《恐怖游轮》 | 评分：8.5 | 评价人数：979150 | 年份：2009 | 短评：
194. 《冰川时代》 | 评分：8.7 | 评价人数：680394 | 年份：2002 | 短评：
195. 《牯岭街少年杀人事件》 | 评分：8.9 | 评价人数：363196 | 年份：1991 | 短评：
196. 《东京教父》 | 评分：9.0 | 评价人数：284904 | 年份：2003 | 短评：
197. 《魔女宅急便》 | 评分：8.7 | 评价人数：519610 | 年份：1989 | 短评：
198. 《岁月神偷》 | 评分：8.7 | 评价人数：609819 | 年份：2010 | 短评：
199. 《忠犬八公物语》 | 评分：9.2 | 评价人数：216618 | 年份：1987 | 短评：
